sudoku.cpp:89:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:89:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:90:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:91:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:92:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:94:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:94:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:95:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:96:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:96:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:97:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:98:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:99:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:100:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:104:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:105:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:107:  Should have a space between // and comment  [whitespace/comments] [4]
sudoku.cpp:109:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:109:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:109:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
sudoku.cpp:110:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:111:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:112:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:113:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:114:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:115:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:116:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:117:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:118:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:121:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:122:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:124:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:125:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:126:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:127:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:127:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:128:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:129:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:130:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:130:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:131:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:132:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:133:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:133:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:134:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:135:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:136:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:136:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:137:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:138:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:140:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:141:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:141:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:143:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:144:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:145:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:145:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:146:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:146:  Consider using rand_r(...) instead of rand(...) for improved thread safety.  [runtime/threadsafe_fn] [2]
sudoku.cpp:148:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:149:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:150:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:151:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:153:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:153:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
sudoku.cpp:154:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:155:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:156:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:157:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:158:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:159:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:160:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:161:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:162:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:162:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:162:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:163:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:164:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:165:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:166:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:167:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:170:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:170:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:171:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:172:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:173:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:174:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:177:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:178:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:179:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:180:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:181:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:182:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:182:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:182:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:183:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:184:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:185:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:186:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:187:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:188:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:189:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:191:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:191:  Missing spaces around >>  [whitespace/operators] [3]
sudoku.cpp:191:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:192:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:192:  Missing space after ,  [whitespace/comma] [3]
sudoku.cpp:193:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:194:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:195:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:196:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:198:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:199:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:200:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:201:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:202:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:203:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:204:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:205:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:206:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:208:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:211:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
sudoku.cpp:212:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:215:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
sudoku.cpp:216:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:217:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:218:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:219:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:220:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:222:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:223:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:224:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:225:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:226:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:227:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:229:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:230:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:231:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:232:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:233:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:234:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:235:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:236:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:236:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:236:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:237:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:238:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:239:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:240:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:241:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:242:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:242:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:242:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:243:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:244:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:245:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:246:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:247:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:248:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:249:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:250:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:251:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:252:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:254:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:255:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:256:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:257:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:257:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
sudoku.cpp:257:  If an else has a brace on one side, it should have it on both  [readability/braces] [5]
sudoku.cpp:258:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:259:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:260:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:262:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:263:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:264:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:265:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:266:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:267:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:268:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:269:  Tab found; better to use spaces  [whitespace/tab] [1]
sudoku.cpp:39:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:44:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:50:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:51:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:55:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:58:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:62:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:66:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:69:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:73:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:87:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:89:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:94:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:107:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:121:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:124:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:140:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:144:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:149:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:154:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:159:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:163:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:214:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:226:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:234:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:240:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:263:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:266:  Line contains invalid UTF-8 (or Unicode replacement character).  [readability/utf8] [5]
sudoku.cpp:270:  Could not find a newline character at the end of the file.  [whitespace/ending_newline] [5]
